CNPJ Emitente,Nome do Emitente,Natureza Op.,Modelo,Data Emissão,Nº NF,Nº Série,Valor,UE,Unidade Arrecadadora,Ue,Chave,Link
03311068000180,POSTO Z + Z LARANJEIRAS LTDA,VEND,55,12/09/2022,13838,001,500,BR,RFB_TSE,BRASIL,52220903311068000180550010000138381398586503,https://www.nfe.fazenda.gov.br/portal/principal.aspx
01595271000108,POSTO XODO LTDA,VEND,65,12/09/2022,391998,1  ,550.36,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003919981001222368,
00747303000172,GRAFOPEL GRAFICA E EDITORA LTDA,SERV,00,09/09/2022,4239,   ,15530,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,2JWB-K57M,WWW.GOIANIA.GO.GOV.BR
00747303000172,GRAFOPEL GRAFICA E EDITORA LTDA,SERV,00,09/09/2022,4237,   ,14836,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,RX58-BN3K,WWW.GOIANIA.GO.GOV.BR
01595271000108,POSTO XODO LTDA,VEND,65,09/09/2022,391555,1  ,159.43,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003915551001211049,
01595271000108,POSTO XODO LTDA,VEND,65,09/09/2022,391670,1  ,144.21,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003916701001214040,
01595271000108,POSTO XODO LTDA,VEND,55,06/09/2022,358,2  ,257.28,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108550020000003581011866276,
01732940000138,AUTO POSTO DRIM LTDA,VEND,55,06/09/2022,19612,001,4105.12,BR,RFB_TSE,BRASIL,52220901732940000138550010000196121171784354,https://www.nfe.fazenda.gov.br/portal/principal.aspx
01732140000117,MW - AUDITORIA E CONSULTORIA SS LTDA,SERV,00,06/09/2022,544,   ,6955,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,N1SZ-3V4D,WWW.GOIANIA.GO.GOV.BR
01595271000108,POSTO XODO LTDA,VEND,55,06/09/2022,358,002,257.28,BR,RFB_TSE,BRASIL,52220901595271000108550020000003581011866276,https://www.nfe.fazenda.gov.br/portal/principal.aspx
01732940000138,AUTO POSTO DRIM LTDA,VEND,55,06/09/2022,19612,1  ,4105.12,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901732940000138550010000196121171784354,
01595271000108,POSTO XODO LTDA,VEND,55,05/09/2022,352,2  ,121.56,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108550020000003521366289914,
01595271000108,POSTO XODO LTDA,VEND,55,05/09/2022,352,002,121.56,BR,RFB_TSE,BRASIL,52220901595271000108550020000003521366289914,https://www.nfe.fazenda.gov.br/portal/principal.aspx
01595271000108,POSTO XODO LTDA,VEND,55,05/09/2022,351,2  ,182.53,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108550020000003511490958868,
01891479000166,GRAFICA E EDITORA E M 5 LTDA,SERV,00,05/09/2022,19915,   ,990,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,6FBQ-3M9D,WWW.GOIANIA.GO.GOV.BR
01595271000108,POSTO XODO LTDA,VEND,55,05/09/2022,351,002,182.53,BR,RFB_TSE,BRASIL,52220901595271000108550020000003511490958868,https://www.nfe.fazenda.gov.br/portal/principal.aspx
01595271000108,POSTO XODO LTDA,VEND,55,05/09/2022,349,002,541.1,BR,RFB_TSE,BRASIL,52220901595271000108550020000003491363018299,https://www.nfe.fazenda.gov.br/portal/principal.aspx
01595271000108,POSTO XODO LTDA,VEND,55,05/09/2022,349,2  ,541.1,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108550020000003491363018299,
01595271000108,POSTO XODO LTDA,VEND,55,04/09/2022,348,002,174.6,BR,RFB_TSE,BRASIL,52220901595271000108550020000003481999176700,https://www.nfe.fazenda.gov.br/portal/principal.aspx
01595271000108,POSTO XODO LTDA,VEND,55,04/09/2022,347,2  ,140.02,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108550020000003471912418458,
01595271000108,POSTO XODO LTDA,VEND,55,04/09/2022,348,2  ,174.6,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108550020000003481999176700,
01595271000108,POSTO XODO LTDA,VEND,55,04/09/2022,347,002,140.02,BR,RFB_TSE,BRASIL,52220901595271000108550020000003471912418458,https://www.nfe.fazenda.gov.br/portal/principal.aspx
13347016000117,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,SERV,00,02/09/2022,48924438,   ,8093.58,SP,PREFEITURA MUNICIPAL DE SÃO PAULO,SÃO PAULO,V8UTLKQK,https://nfe.prefeitura.sp.gov.br/contribuinte/notaprint.aspx?ccm=42427630&nf=48924438&cod=V8UTLKQK
01595271000108,POSTO XODO LTDA,VEND,55,30/08/2022,326,002,456.61,BR,RFB_TSE,BRASIL,52220801595271000108550020000003261124972716,https://www.nfe.fazenda.gov.br/portal/principal.aspx
32312128000187,SMART LOC LOCACOES E SERVICOS LTDA,SERV,00,30/08/2022,98,   ,6500,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,9R4Z-VFWJ,WWW.GOIANIA.GO.GOV.BR
32312128000187,SMART LOC LOCACOES E SERVICOS LTDA,SERV,00,30/08/2022,100,   ,25400,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,3GM2-H3VN,WWW.GOIANIA.GO.GOV.BR
01595271000108,POSTO XODO LTDA,VEND,55,30/08/2022,326,2  ,456.61,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220801595271000108550020000003261124972716,
01595271000108,POSTO XODO LTDA,VEND,55,30/08/2022,325,2  ,127.14,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220801595271000108550020000003251641806197,
01595271000108,POSTO XODO LTDA,VEND,55,30/08/2022,325,002,127.14,BR,RFB_TSE,BRASIL,52220801595271000108550020000003251641806197,https://www.nfe.fazenda.gov.br/portal/principal.aspx
01595271000108,POSTO XODO LTDA,VEND,55,30/08/2022,324,002,174.08,BR,RFB_TSE,BRASIL,52220801595271000108550020000003241930102817,https://www.nfe.fazenda.gov.br/portal/principal.aspx
32312128000187,SMART LOC LOCACOES E SERVICOS LTDA,SERV,00,30/08/2022,99,   ,30000,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,5ZR2-HLL2,WWW.GOIANIA.GO.GOV.BR
01595271000108,POSTO XODO LTDA,VEND,55,30/08/2022,324,2  ,174.08,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220801595271000108550020000003241930102817,
01595271000108,POSTO XODO LTDA,VEND,55,30/08/2022,323,2  ,180.15,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220801595271000108550020000003231650707800,
05703562000115,MUDATO INOVACAO E TECNOLOGIA LTDA,SERV,00,30/08/2022,1809,   ,480,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,YQ88-T1TL,WWW.GOIANIA.GO.GOV.BR
01595271000108,POSTO XODO LTDA,VEND,55,30/08/2022,323,002,180.15,BR,RFB_TSE,BRASIL,52220801595271000108550020000003231650707800,https://www.nfe.fazenda.gov.br/portal/principal.aspx
01595271000108,POSTO XODO LTDA,VEND,55,29/08/2022,322,002,1525.23,BR,RFB_TSE,BRASIL,52220801595271000108550020000003221864433020,https://www.nfe.fazenda.gov.br/portal/principal.aspx
19863667000146,SOLIDA COMUNICACAO VISUAL LTDA,VEND,55,29/08/2022,4197,001,3950,BR,RFB_TSE,BRASIL,52220819863667000146550010000041971226198138,https://www.nfe.fazenda.gov.br/portal/principal.aspx
19863667000146,SOLIDA COMUNICACAO VISUAL LTDA,VEND,55,29/08/2022,4197,1  ,3950,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220819863667000146550010000041971226198138,
01595271000108,POSTO XODO LTDA,VEND,55,29/08/2022,322,2  ,1525.23,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220801595271000108550020000003221864433020,
